domain,oldCategory,oldSubCategory,reason,reasonCode,appPresence,monthlyVisits,monthlyVisitsFormatted,trafficBand,techCount,region
shipway.com,Ecommerce/Retail,Marketplace,Tech stack indicates B2B platform (no ecommerce; multiple B2B tools),b2b_tech_stack,,1730166,1.7M,1M-5M,37,India
hp.gov.in,Electronics & Tech,Computers & Laptops,Government/Academic/Non-Profit domain (hp.gov.in),domain_tld,,1676237,1.7M,1M-5M,,India
wcd.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (wcd.gov.in),domain_tld,No App,1674477,1.7M,1M-5M,,India
exportersindia.com,Ecommerce/Retail,Marketplace,Known Non-D2C platform/tool (exportersindia.com),known_non_d2c,,1658277,1.7M,1M-5M,32,India
indiabudget.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (indiabudget.gov.in),domain_tld,No App,1649515,1.6M,1M-5M,,India
bhandaradccb.in,Government & Public Sector,Public Health,Non-D2C category: Government & Public Sector,non_d2c_category,No App,1630974,1.6M,1M-5M,,India
paruluniversity.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (paruluniversity.ac.in),domain_tld,No App,1604378,1.6M,1M-5M,62,India
jpsc.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (jpsc.gov.in),domain_tld,No App,1600968,1.6M,1M-5M,,India
finology.in,Schools & Universities,Professional Institute,Non-D2C category: Schools & Universities,non_d2c_category,No App,1591377,1.6M,1M-5M,23,India
education.gov.za,EdTech,General,Government/Academic/Non-Profit domain (education.gov.za),domain_tld,No App,1526160,1.5M,1M-5M,,South Africa
pgportal.gov.in,Electronics & Tech,Consumer Electronics,Government/Academic/Non-Profit domain (pgportal.gov.in),domain_tld,No App,1500922,1.5M,1M-5M,7,India
mahakosh.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (mahakosh.gov.in),domain_tld,No App,1500541,1.5M,1M-5M,,India
pmsuryaghar.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (pmsuryaghar.gov.in),domain_tld,No App,1491418,1.5M,1M-5M,,India
schools.org.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (schools.org.in),domain_tld,No App,1485027,1.5M,1M-5M,32,India
indiabix.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,1481437,1.5M,1M-5M,19,Global
gtu.ac.in,EdTech,General,Government/Academic/Non-Profit domain (gtu.ac.in),domain_tld,No App,1465096,1.5M,1M-5M,23,India
wbjeeb.nic.in,EdTech,General,Government/Academic/Non-Profit domain (wbjeeb.nic.in),domain_tld,No App,1463093,1.5M,1M-5M,,India
vtu.ac.in,Construction & Building Materials,Cement & Concrete,Government/Academic/Non-Profit domain (vtu.ac.in),domain_tld,No App,1461184,1.5M,1M-5M,33,India
tatasteel.co.in,Construction & Building Materials,Steel & Metals,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,1440728,1.4M,1M-5M,,India
kluniversity.in,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,1437952,1.4M,1M-5M,63,India
kvs.ac.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (kvs.ac.in),domain_tld,No App,1305784,1.3M,1M-5M,,India
hrmsodisha.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (hrmsodisha.gov.in),domain_tld,No App,1295195,1.3M,1M-5M,,India
kvs.gov.in,EdTech,General,Government/Academic/Non-Profit domain (kvs.gov.in),domain_tld,No App,1292128,1.3M,1M-5M,,India
iiit.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (iiit.ac.in),domain_tld,No App,1286611,1.3M,1M-5M,,India
downtoearth.org.in,News & Media,General,Government/Academic/Non-Profit domain (downtoearth.org.in),domain_tld,No App,1278736,1.3M,1M-5M,,India
npstrust.org.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (npstrust.org.in),domain_tld,No App,1244379,1.2M,1M-5M,,India
vcourts.gov.in,Government & Public Sector,Judiciary & Courts,Government/Academic/Non-Profit domain (vcourts.gov.in),domain_tld,No App,1232675,1.2M,1M-5M,,India
kvsangathan.nic.in,EdTech,General,Government/Academic/Non-Profit domain (kvsangathan.nic.in),domain_tld,No App,1228448,1.2M,1M-5M,,India
ultratechcement.com,Construction & Building Materials,Cement & Concrete,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,1203318,1.2M,1M-5M,48,India
vikaspedia.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,1202530,1.2M,1M-5M,,India
thapar.edu,Schools & Universities,University,Government/Academic/Non-Profit domain (thapar.edu),domain_tld,No App,1191361,1.2M,1M-5M,52,India
eshram.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (eshram.gov.in),domain_tld,No App,1177384,1.2M,1M-5M,,India
amityonline.com,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,1166926,1.2M,1M-5M,68,India
aptonline.in,Professional Services,General,Non-D2C category: Professional Services,non_d2c_category,No App,1158676,1.2M,1M-5M,,India
samarthinternational.co.in,Web Hosting & Domains,General,Non-D2C category: Web Hosting & Domains,non_d2c_category,No App,1156695,1.2M,1M-5M,,India
hcltech.com,Professional Services,IT Services,Known Non-D2C platform/tool (hcltech.com),known_non_d2c,No App,1149443,1.1M,1M-5M,,Global
edustud.nic.in,EdTech,Special Education,Government/Academic/Non-Profit domain (edustud.nic.in),domain_tld,No App,1133082,1.1M,1M-5M,,India
testservices.nic.in,Real Estate,Construction,Government/Academic/Non-Profit domain (testservices.nic.in),domain_tld,No App,1117745,1.1M,1M-5M,,India
samarth.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (samarth.ac.in),domain_tld,No App,1109918,1.1M,1M-5M,14,India
adani.com,Conglomerates & Holding Companies,Business Houses (India — Tata; Reliance; Adani),Non-D2C category: Conglomerates & Holding Companies,non_d2c_category,No App,1077576,1.1M,1M-5M,,India
bibinogs.in,Government & Public Sector,Public Health,Non-D2C category: Government & Public Sector,non_d2c_category,No App,1060222,1.1M,1M-5M,,India
defence.in,Aerospace & Defense,Missiles & Weapons Systems,Non-D2C category: Aerospace & Defense,non_d2c_category,No App,1053725,1.1M,1M-5M,,India
apprenticeshipindia.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (apprenticeshipindia.gov.in),domain_tld,No App,1044373,1M,1M-5M,18,India
icsi.edu,Government & Public Sector,General,Government/Academic/Non-Profit domain (icsi.edu),domain_tld,No App,1034635,1M,1M-5M,,Global
tribal.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (tribal.gov.in),domain_tld,No App,1033793,1M,1M-5M,23,India
upes.ac.in,Schools & Universities,University,Government/Academic/Non-Profit domain (upes.ac.in),domain_tld,No App,1032978,1M,1M-5M,37,India
indgovtjobs.in,Government & Public Sector,Defense & Military,Non-D2C category: Government & Public Sector,non_d2c_category,No App,1026823,1M,1M-5M,48,India
iitr.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitr.ac.in),domain_tld,No App,1024787,1M,1M-5M,,India
cbse.nic.in,EdTech,General,Government/Academic/Non-Profit domain (cbse.nic.in),domain_tld,No App,1007043,1M,1M-5M,,India
education.vic.gov.au,EdTech,General,Government/Academic/Non-Profit domain (education.vic.gov.au),domain_tld,No App,993167,993.2K,500K-1M,,Australia
prsindia.org,Government & Public Sector,Regulatory Body,Non-D2C category: Government & Public Sector,non_d2c_category,No App,986175,986.2K,500K-1M,,India
startupindia.gov.in,Government & Public Sector,Incubator,Government/Academic/Non-Profit domain (startupindia.gov.in),domain_tld,No App,966354,966.4K,500K-1M,,India
consumerhelpline.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (consumerhelpline.gov.in),domain_tld,No App,962410,962.4K,500K-1M,,India
powergrid.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,956246,956.2K,500K-1M,,India
digitaluniversity.ac,Government & Public Sector,Public Services,Non-D2C category: Government & Public Sector,non_d2c_category,No App,954329,954.3K,500K-1M,,India
apsc.nic.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (apsc.nic.in),domain_tld,No App,948984,949K,500K-1M,,India
indiahikes.com,Schools & Universities,Professional Institute,Non-D2C category: Schools & Universities,non_d2c_category,No App,947580,947.6K,500K-1M,47,UK
campusfrance.org,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,929182,929.2K,500K-1M,20,Global
jeeadv.ac.in,EdTech,General,Government/Academic/Non-Profit domain (jeeadv.ac.in),domain_tld,No App,925208,925.2K,500K-1M,12,India
saveetha.com,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,916245,916.2K,500K-1M,,India
orientalinsurance.org.in,Insurance,General,Government/Academic/Non-Profit domain (orientalinsurance.org.in),domain_tld,No App,913743,913.7K,500K-1M,,India
hcraj.nic.in,Government & Public Sector,Judiciary & Courts,Government/Academic/Non-Profit domain (hcraj.nic.in),domain_tld,No App,908930,908.9K,500K-1M,,India
scsthub.in,Government & Public Sector,Central Government,Non-D2C category: Government & Public Sector,non_d2c_category,No App,902219,902.2K,500K-1M,20,India
sarkariresults.org.in,Home & Living,Hardware Store,Government/Academic/Non-Profit domain (sarkariresults.org.in),domain_tld,,895662,895.7K,500K-1M,18,India
ossc.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (ossc.gov.in),domain_tld,No App,893650,893.6K,500K-1M,6,India
cga.gov.in,Electronics & Tech,Gaming,Government/Academic/Non-Profit domain (cga.gov.in),domain_tld,,879584,879.6K,500K-1M,21,India
analyticsvidhya.com,AI & Data Science,Generative AI,Non-D2C category: AI & Data Science,non_d2c_category,No App,868990,869K,500K-1M,,India
wbhealth.gov.in,Government & Public Sector,Public Health,Government/Academic/Non-Profit domain (wbhealth.gov.in),domain_tld,No App,861781,861.8K,500K-1M,,India
digitalgujarat.gov.in,Government & Public Sector,Public Services,Government/Academic/Non-Profit domain (digitalgujarat.gov.in),domain_tld,No App,861189,861.2K,500K-1M,,India
mordorintelligence.com,Professional Services,Research,Non-D2C category: Professional Services,non_d2c_category,No App,861115,861.1K,500K-1M,,India
johndeere.com,Staffing & Workforce Solutions,Farm Equipment,Non-D2C category: Staffing & Workforce Solutions,non_d2c_category,No App,860711,860.7K,500K-1M,,US
onlineupdatestm.in,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,858207,858.2K,500K-1M,,India
ncs.gov.in,Government & Public Sector,Central Government,Government/Academic/Non-Profit domain (ncs.gov.in),domain_tld,No App,848985,849K,500K-1M,,India
reactnative.dev,Professional Services,General,Non-D2C category: Professional Services,non_d2c_category,No App,848223,848.2K,500K-1M,,India
sensorise.net,IoT & Connected Devices,General,Non-D2C category: IoT & Connected Devices,non_d2c_category,No App,846161,846.2K,500K-1M,,Global
ireps.gov.in,Government & Public Sector,Public Health,Government/Academic/Non-Profit domain (ireps.gov.in),domain_tld,No App,843438,843.4K,500K-1M,,India
indianfrro.gov.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (indianfrro.gov.in),domain_tld,No App,841771,841.8K,500K-1M,,India
mkcl.org,Government & Public Sector,Municipal & Local,Non-D2C category: Government & Public Sector,non_d2c_category,No App,840429,840.4K,500K-1M,,Global
nmc.org.in,Health & Wellness Services,General,Government/Academic/Non-Profit domain (nmc.org.in),domain_tld,No App,835346,835.3K,500K-1M,,India
rsdelivers.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,834391,834.4K,500K-1M,,Global
rtionline.gov.in,Government & Public Sector,Regulatory Body,Government/Academic/Non-Profit domain (rtionline.gov.in),domain_tld,No App,830561,830.6K,500K-1M,,India
jansamarth.in,Government & Public Sector,General,Non-D2C category: Government & Public Sector,non_d2c_category,No App,829306,829.3K,500K-1M,,India
luarkampus.id,Schools & Universities,University,Non-D2C category: Schools & Universities,non_d2c_category,No App,824846,824.8K,500K-1M,,Indonesia
tatasteel.com,Construction & Building Materials,Steel & Metals,Non-D2C category: Construction & Building Materials,non_d2c_category,No App,811647,811.6K,500K-1M,35,India
bhawar.com,Wholesale & Distribution,General,Non-D2C category: Wholesale & Distribution,non_d2c_category,No App,810961,811K,500K-1M,,India
ethdigitalcampus.com,Schools & Universities,General,Non-D2C category: Schools & Universities,non_d2c_category,No App,810903,810.9K,500K-1M,,Global
bhu.ac.in,Government & Public Sector,General,Government/Academic/Non-Profit domain (bhu.ac.in),domain_tld,No App,808274,808.3K,500K-1M,,India
webengage.com,SaaS & B2B,Analytics,Non-D2C category: SaaS & B2B,non_d2c_category,No App,807152,807.2K,500K-1M,,UK
iitgn.ac.in,Schools & Universities,Professional Institute,Government/Academic/Non-Profit domain (iitgn.ac.in),domain_tld,No App,796905,796.9K,500K-1M,31,India
